id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
13913	Holiday London DB Room Let-on going	54730	Alina		Islington	51.56802	-0.11121	Private room	65	1	16	10/06/2019	0.15	3	347
15400	Bright Chelsea  Apartment. Chelsea!	60302	Philippa		Kensington and Chelsea	51.48796	-0.16898	Entire home/apt	100	3	85	05/05/2019	0.73	1	203
17402	Superb 3-Bed/2 Bath & Wifi: Trendy W1	67564	Liz		Westminster	51.52098	-0.14002	Entire home/apt	300	3	41	19/06/2019	0.41	14	269
24328	Battersea bedroom & office w parking shared garden	41759	Joe		Wandsworth	51.47298	-0.16376	Entire home/apt	175	30	93	08/06/2019	0.88	1	329
25023	All-comforts 2-bed flat near Wimbledon tennis	102813	Amanda		Wandsworth	51.44687	-0.21874	Entire home/apt	65	4	28	22/06/2019	0.69	1	2
25123	Clean big Room in London (Room 1)	103583	Grace		Barnet	51.57224	-0.20906	Private room	29	10	122	28/06/2019	1.08	3	222
26223	FREE WIFI!! Angel Bright Ap Private Terrace by BDC	110865	Paulo		Islington	51.54168	-0.10207	Entire home/apt	147	3	62	07/07/2019	0.59	5	355
26482	FREE WIFI! Stunning Penthouse Apt Business D Ctr	110865	Paulo		Islington	51.53883	-0.10153	Entire home/apt	147	2	79	10/07/2019	0.75	5	342
31361	Restful Room, Friendly House, East London	134606	Cryn		Newham	51.53484	0.02707	Private room	34	1	115	30/06/2019	1.05	1	313
33332	Twickenham Stadium & Wimbledon easy reach Ensuite	144444	Chi-Chi		Hounslow	51.46507	-0.32421	Private room	100	1	5	26/05/2019	0.05	1	364
34825	Zone 1, Dbl Room, Central London	150078	Michael		Camden	51.52513	-0.11749	Private room	45	1	187	12/06/2019	1.71	1	359
36299	Kew Gardens 3BR house in cul-de-sac	155938	Geert		Richmond upon Thames	51.47934	-0.28066	Entire home/apt	195	3	70	01/07/2019	0.66	1	306
36660	You are GUARANTEED to love this	157884	Agri & Roger		Haringey	51.58461	-0.1617	Private room	72	2	505	03/07/2019	4.7	2	207
36986	Gorgeous Victorian Flat Overlooking London Fields	159556	Michael		Hackney	51.53972	-0.05885	Entire home/apt	80	6	52	30/03/2019	0.48	1	71
38151	Double room/ lounge	163634	Lisa		Croydon	51.4194	-0.08722	Private room	65	1	0			1	365
38407	Canary Wharf Immaculate Apt for 2	164566	John		Tower Hamlets	51.49995	-0.02624	Entire home/apt	79	2	137	21/04/2017	1.28	1	10
38605	SUNNY ROOM PRIVATE BATHROOM PLUS BREAKFAST	165579	Elisa & Dom		Hammersmith and Fulham	51.50687	-0.23328	Private room	62	2	344	03/07/2019	3.25	2	280
38610	CHARMING FAMILY HOME SLEEPS 10	165579	Elisa & Dom		Hammersmith and Fulham	51.50819	-0.23284	Entire home/apt	296	6	27	30/05/2019	0.32	2	36
38950	Room 1 Large Double Bedroom - front ground floor	167107	Paul		Haringey	51.5873	-0.08606	Private room	25	1	0			4	90
