id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
482518	Room near tube stn zone 2 (10th to 25 Sep only)	1580084	Jay		Lewisham	51.46286	-0.0342	Private room	15	3	9	21/09/2018	0.22	2	32
482685	Homely, Quaint, Camden Garden Flat	2389626	Mark		Camden	51.54824	-0.15166	Entire home/apt	250	14	0			1	365
483400	Spacious Room Limehouse/Mile End	2392896	Giammarco		Tower Hamlets	51.51569	-0.03622	Private room	30	1	3	20/06/2013	0.04	1	0
483891	Short let - 16 July - 26 Aug 250pw 	2395784	Clare		Haringey	51.57651	-0.07556	Private room	36	21	0			1	0
484978	Amazing Luxury Penthouse  - W12	2400603	Jackie		Hammersmith and Fulham	51.5042	-0.21699	Entire home/apt	175	2	59	28/06/2019	0.7	1	105
485120	En-suite double bedroom - Olympics	2401278	Kathy		Newham	51.53845	-0.00487	Private room	150	2	0			1	365
486032	Olympic Rental - Designer Flat	2405795	Gen		Hackney	51.54698	-0.06182	Entire home/apt	350	7	0			1	0
486373	London Bridge SE1 Â£1000	2407165	Roy		Southwark	51.50229	-0.07391	Private room	33	150	0			1	365
486501	Bright 2 Bed Flat by Queens Park	979982	Lesley		Brent	51.53258	-0.2135	Entire home/apt	65	4	1	05/08/2012	0.01	1	0
486512	PRIVATE DOUBLE ROOM IN GREATER LONDON	2407874	Chi		Redbridge	51.58583	0.06578	Private room	50	5	0			1	365
486627	WOW London Garden  Apartment	1941211	Cheryl, Anna ,Lee		Islington	51.53834	-0.1147	Entire home/apt	100	1	79	10/07/2019	1.05	2	350
487430	Triple room  for cheap price in London	2398949	Verginett		Merton	51.41541	-0.14808	Private room	32	2	96	08/07/2019	1.96	3	328
487783	TWIN / DOUBLE Room,  Central Kingston, S W London	2413601	Claire		Kingston upon Thames	51.41848	-0.30356	Private room	35	2	93	28/06/2019	1.1	2	353
487934	Comfy 2 bed apartment in Central London	2107017	Natalia		Tower Hamlets	51.51509	-0.0568	Entire home/apt	130	3	37	23/06/2019	0.44	5	284
488949	Â£85 WHOLE 1 bedroom flat with FREE NETFLIX!	425778	Doug		Hackney	51.53468	-0.08017	Private room	85	2	193	20/06/2019	2.25	2	338
489295	Friendly London  Hoxton Home	2048914	Chloe		Hackney	51.52994	-0.08459	Private room	88	3	21	20/04/2019	0.25	2	179
