id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
403668	Gorgeous Sunny, Spacious 1 bdrm in East Village	2013117	Katya	Manhattan	East Village	40.72812	-73.97966	Entire home/apt	147	2	16	02/01/2019	0.18	1	0
40+A1001:P20004502	ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!	242506	Jsun	Brooklyn	Williamsburg	40.7093	-73.96484	Private room	123	3	269	05/06/2019	3.09	3	158
404923	Private Garden Entry	2017752	Jeruschka	Brooklyn	Windsor Terrace	40.64791	-73.97904	Entire home/apt	88	3	243	24/06/2019	2.75	1	217
405025	LUXE Privé L.I.C. Apt & Garden	2018042	Megan	Queens	Long Island City	40.75453	-73.93377	Entire home/apt	215	2	59	01/07/2019	0.94	1	335
405408	"Magazine SOHO Studio Loft. 
Read our reviews!"	2020431	M. C.	Manhattan	SoHo	40.72057	-73.99976	Entire home/apt	225	3	134	22/06/2019	1.53	1	231
406926	Nolita apt. with private garden	2027134	Marie-Helene	Manhattan	Nolita	40.7234	-73.99439	Entire home/apt	269	28	81	03/07/2019	0.93	1	122
406992	Family friendly Williamsburg Apt for Vacation!	1952186	Erin	Brooklyn	Williamsburg	40.71121	-73.94669	Entire home/apt	145	3	7	22/10/2016	0.08	1	270
407469	BROWNSTONE TWO IN BROOKLYN in NYC	2015914	Majar	Brooklyn	Bushwick	40.68979	-73.91661	Private room	75	3	112	26/05/2019	1.28	8	330
408491	Charming West Village One Bedroom	2034361	Marshall	Manhattan	Greenwich Village	40.73448	-73.99797	Entire home/apt	145	5	0			1	0
408983	Brooklyn Brownstone full floor/garden ProspectPark	520189	Andre	Brooklyn	Prospect-Lefferts Gardens	40.65937	-73.95906	Entire home/apt	229	2	92	09/06/2019	1.05	1	321
409262	Family friendly,  steps to subway, large garden :)	1621363	Elizabeth	Brooklyn	Boerum Hill	40.68599	-73.98826	Entire home/apt	300	29	23	14/02/2019	0.26	2	312
409293	Private Sunny Room Near Central Park & Mount Sinai	2010724	K. Naomi	Manhattan	East Harlem	40.79477	-73.95046	Private room	100	3	67	28/05/2019	0.76	3	345
409666	1 bdr apt, sunny & artsy, 4 min walk to the beach	405225	Olga	Brooklyn	Brighton Beach	40.5781	-73.95455	Entire home/apt	75	2	8	18/09/2016	0.1	1	2
411336	"Simple Perfect Soho"	2047776	Jennifer	Manhattan	Nolita	40.72278	-73.9967	Entire home/apt	225	2	244	01/07/2019	2.81	2	252
411525	Beautiful Room + Private Balcony	1697784	Jonathan	Brooklyn	Williamsburg	40.71472	-73.96225	Private room	120	6	62	17/05/2019	0.7	2	15
411918	3 BR apartment Crown Heights, BKLYN	2050338	Verena	Brooklyn	Crown Heights	40.66924	-73.94406	Entire home/apt	160	5	125	02/07/2019	1.47	3	169
412061	Brownstone Sunny & Spacious top fl	2051075	Linda	Brooklyn	Crown Heights	40.67259	-73.95489	Entire home/apt	125	30	58	01/06/2019	0.67	2	212
412180	Morocco in Brooklyn with the flyest loft, Amazing!	2051961	Kim	Brooklyn	Bedford-Stuyvesant	40.69321	-73.9442	Entire home/apt	95	5	9	03/09/2018	0.1	1	0
413504	Perfect NYC/Williamsburg Location	1286417	Omri	Brooklyn	Williamsburg	40.71348	-73.94447	Private room	119	3	137	13/06/2019	1.57	1	296
413775	Midtown East Sutton Area Entire Apt	2058589	Cary	Manhattan	Midtown	40.75816	-73.96457	Entire home/apt	275	2	16	09/05/2019	0.24	1	167
413876	Finest Gateway to historic Financial District	2059155	Dan	Manhattan	Financial District	40.70537	-74.00992	Entire home/apt	160	1	36	26/09/2018	0.57	1	365
414801	Industrial Brooklyn Loft with Tree-Lined Windows	319077	Shell	Brooklyn	Clinton Hill	40.68722	-73.96289	Entire home/apt	500	1	54	24/03/2019	0.65	4	365
415304	Cute east village apartment.	2050328	Martis	Manhattan	East Village	40.73111	-73.98528	Entire home/apt	175	14	1	31/05/2016	0.03	1	0
416557	All Charm: Lush Garden, Huge Kitchen + Quiet	2714164	Jasmine	Brooklyn	Greenpoint	40.72212	-73.94389	Entire home/apt	87	6	39	13/03/2019	0.47	2	258
417685	Bright and Quiet 2 BR in Park Slope	119588	Vero	Brooklyn	Park Slope	40.66626	-73.97933	Entire home/apt	160	1	145	22/06/2019	1.76	2	257
418291	Cozy, bright 1BR avail. in East Village apartment	626289	Marshall	Manhattan	East Village	40.72978	-73.9793	Private room	125	3	28	25/06/2019	0.33	1	364
419373	Stylish Loft w/Lovely Backyard	2085639	Eada	Brooklyn	Bedford-Stuyvesant	40.68838	-73.94193	Entire home/apt	90	2	206	30/06/2019	2.4	1	236
419792	Great Apt IDEAL Location 900 SF	2087636	Maddine	Manhattan	Lower East Side	40.71804	-73.98565	Entire home/apt	200	7	4	04/05/2019	0.22	1	0
421554	Garden - Brownstone Experience	2096690	Richard	Brooklyn	Bedford-Stuyvesant	40.68559	-73.93896	Entire home/apt	250	15	37	30/10/2016	0.52	2	54
422040	Gorgeous ! Best Location in NYC !	1090764	Lynda	Manhattan	Upper West Side	40.77995	-73.98342	Private room	99	30	27	11/08/2017	0.31	1	189
424192	luxury 1 BedRoom Apt Hells Kitchen	2108853	Jasen	Manhattan	Hell's Kitchen	40.7559	-73.99469	Entire home/apt	325	30	18	21/05/2016	0.21	1	364
424667	Luxury room + En-suite bath in Times Sq/Midtown W	2111060	Jj	Manhattan	Hell's Kitchen	40.76291	-73.99202	Private room	99	1	134	02/04/2019	1.54	1	265
424767	Chic, Spacious Loft + Backyard	2103888	Akari	Manhattan	Midtown	40.74406	-73.98273	Entire home/apt	325	2	197	20/06/2019	2.25	1	207
424889	Sunny and Zen W. Village Studio of Your Own	2076827	Shelley	Manhattan	West Village	40.73041	-74.00498	Entire home/apt	129	7	5	21/05/2015	0.09	1	0
424930	2BR Lux Prospect Heights	905122	Supriya	Brooklyn	Crown Heights	40.6764	-73.96218	Entire home/apt	130	28	5	06/10/2015	0.06	1	196
425784	An airy, comfy, bookish refuge!	2116807	Rafil	Brooklyn	Vinegar Hill	40.70279	-73.98284	Entire home/apt	190	4	8	02/01/2018	0.09	1	0
428226	Bright & Vibrant- The BK experience	2128778	Rachael	Brooklyn	Crown Heights	40.67436	-73.956	Private room	55	2	62	11/05/2019	0.71	2	57
430427	Very clean, quiet bedroom available	820046	Elaine	Manhattan	Washington Heights	40.83559	-73.94095	Private room	60	2	13	31/01/2017	0.15	1	0
430665	Lux One-bed Central Park View UWS	2141109	Kishore	Manhattan	Upper West Side	40.79234	-73.96482	Entire home/apt	250	1	8	22/08/2014	0.09	1	0
431865	Elegant Uptown Historic District Garden Apartment	361855	Kurt	Manhattan	Washington Heights	40.83451	-73.93885	Entire home/apt	275	3	50	30/06/2019	0.87	2	277
432090	Only 5 Min. to Manhattan!	2148881	Grace	Queens	Long Island City	40.74826	-73.94633	Private room	50	180	69	28/09/2016	0.79	1	0
433218	Lovely 1 bdrm in Prospect Heights!	644941	Miya	Brooklyn	Prospect Heights	40.67763	-73.97185	Entire home/apt	125	4	41	20/05/2019	0.47	1	10
433414	Spacious & Sunny in Prime Brooklyn	287733	David	Brooklyn	Clinton Hill	40.68472	-73.96691	Entire home/apt	150	20	89	28/06/2019	1.04	1	247
433914	1 Bedroom Apt - Close to JFK & City	1906804	Terrance	Brooklyn	East New York	40.65408	-73.87883	Entire home/apt	70	4	40	17/06/2019	0.46	1	273
434792	1 br. studio duplex,  Park Slope/Gowanus, Brooklyn	2117078	Joe	Brooklyn	Gowanus	40.67302	-73.98756	Entire home/apt	138	3	106	07/06/2019	1.22	1	189
435774	A REAL New Yorkers  Wall St	2164138	Suzanne	Manhattan	Financial District	40.70633	-74.00974	Entire home/apt	265	4	33	25/11/2018	0.39	1	0
435776	ROOM AVAILABLE IN NEW YORK CITY	2164452	Robert	Manhattan	Upper East Side	40.77548	-73.95183	Private room	145	5	2	03/10/2017	0.09	1	365
435909	Sunny West Village Dream	2165401	Andrew	Manhattan	West Village	40.73775	-74.00344	Entire home/apt	151	88	19	24/12/2016	0.22	1	249
435946	SUNNY ZEN  FULL SERVICE HUGE STUDIO	2165711	Alda	Manhattan	Financial District	40.70917	-74.0146	Entire home/apt	208	6	100	14/06/2019	1.14	1	310
436510	Beautiful corner prewar apartment in Williamsburg	2168251	Jennifer	Brooklyn	Williamsburg	40.7108	-73.96226	Entire home/apt	200	3	16	25/09/2018	0.19	1	291
436619	Tranquil, Artsy, Sunny Bedroom	2168468	Cp	Manhattan	East Village	40.72507	-73.98861	Private room	110	2	64	09/06/2019	0.76	1	74
436824	Room in Harlem	200243	Laetitia	Manhattan	Harlem	40.82726	-73.9444	Private room	58	1	17	27/04/2019	0.31	2	289
436916	Room for the Summer	2169825	Serge	Manhattan	Harlem	40.82669	-73.94281	Private room	55	2	7	11/10/2016	0.08	1	0
437352	Fantastic 2BR in Brooklyn's Best Area	290662	Seth	Brooklyn	Park Slope	40.67078	-73.98815	Entire home/apt	105	115	15	31/12/2018	0.17	1	219
437906	GREAT 1BR/2BA TERRACE & W/D! in EV!	2175110	Ralph	Manhattan	East Village	40.728	-73.97903	Entire home/apt	350	5	4	07/10/2015	0.07	1	0
438513	Big Beautiful Brooklyn Apt @ Park!	2177462	Marc	Brooklyn	Prospect-Lefferts Gardens	40.65814	-73.96181	Entire home/apt	150	3	87	16/06/2019	1	1	73
439750	Perfect apt. above L train Graham stop	1566042	Haley	Brooklyn	Williamsburg	40.71517	-73.94292	Private room	55	150	10	19/05/2018	0.14	1	97
439870	Gorgeous Park Slope, BK triplex 4BD	1903758	Andrij	Brooklyn	Park Slope	40.66859	-73.98235	Entire home/apt	299	20	0			1	149
442636	Private,Affordable, 20 min to NYC!	1655939	Joris	Queens	Ridgewood	40.70054	-73.90255	Entire home/apt	77	3	289	24/06/2019	3.3	1	85
442649	Lovely Chelsea 1 Bedroom	793225	Rachel	Manhattan	Chelsea	40.74572	-73.99965	Entire home/apt	125	9	10	22/08/2018	0.11	1	0
443646	Classy 2.5 BR Brownstone w/ Garden	2204078	Michelle	Manhattan	Upper West Side	40.78911	-73.97396	Entire home/apt	395	14	39	16/05/2019	0.45	1	50
444171	Upper Duplex in Brooklyn Brownstone	2206506	James	Brooklyn	Bedford-Stuyvesant	40.68813	-73.92817	Entire home/apt	189	7	7	17/04/2017	0.1	2	303
444430	comfy room minutes from museums	420542	Danielle	Bronx	Mott Haven	40.81128	-73.92399	Private room	49	1	23	27/03/2018	0.27	1	333
446367	Best Block, NYC!  July 25-Aug 18	2216673	Joy	Manhattan	Upper West Side	40.77593	-73.97699	Entire home/apt	90	4	22	10/06/2019	0.27	1	239
447766	Great 1 BR Apt in Kips Bay, NY	1109143	Mark	Manhattan	Kips Bay	40.73903	-73.97975	Private room	100	1	1	21/08/2014	0.02	1	6
447840	Private Artist’s Apt/ Amazing Location!	242506	Jsun	Brooklyn	Williamsburg	40.71164	-73.965	Entire home/apt	299	2	5	09/01/2016	0.06	3	0
448048	1 BR, Book it 1st then write me	1267021	Sharma	Queens	Jackson Heights	40.75193	-73.87873	Private room	75	5	30	24/05/2019	0.37	3	180
448049	No Inq,Read it, 1 BR, Rt of Subway,	1267021	Sharma	Queens	Jackson Heights	40.74906	-73.89377	Private room	69	7	55	30/09/2018	0.64	3	318
449034	Spacious Loft 5 min to Union Square	124357	Alex	Brooklyn	Williamsburg	40.71756	-73.95282	Private room	90	1	155	07/06/2019	1.78	3	328
449130	Your Own Private Entrance Studio in Stylish Duplex	2229582	Yamil	Manhattan	Harlem	40.8179	-73.94319	Private room	94	1	95	28/06/2019	1.09	1	18
449660	Art & Music Salon	2233165	Liz	Brooklyn	Windsor Terrace	40.64814	-73.97304	Private room	80	2	118	16/06/2019	1.35	1	353
