"id","name","hostid","hostname","neighbourhoodgroup","neighbourhood","latitude","longitude","roomtype","price","minimumnights","numberofreviews","lastreview","reviewspermonth","calculatedhostlistingscount","availability365"
4471513,"The Ultimate Luxury!",3740730,"S","Manhattan","Theater District",40.75607,-73.98593,"Entire home/apt",699,6,186,"05/07/2019",3.27,2,254
36031639,"Sunlit Room in Cozy Apartment",89830146,"Max","Brooklyn","Crown Heights",40.66801,-73.94863,"Private room",50,2,0,"", ,1,29
18324607,"Spacious Brooklyn 3BR perfect for families",17449165,"Amanda","Brooklyn","Carroll Gardens",40.6838,-73.998,"Entire home/apt",250,2,7,"31/12/2017",0.27,1,0
35303893,"Modern sunlit luxury studio in Chelsea/Flatiron",14034161,"Chris","Manhattan","Chelsea",40.7455,-73.99714,"Entire home/apt",249,4,0,"", ,1,45
35005563,"Charming 1BR in Midtown East by Sonder",219517861,"Sonder (NYC)","Manhattan","Midtown",40.756,-73.98195,"Entire home/apt",230,29,0,"", ,327,354
33367953,"Comfy and cozy room 20 mins away from Manhattan.",219891232,"Yurany","Queens","Elmhurst",40.74326,-73.88912,"Private room",45,2,16,"29/06/2019",5.05,1,32
31963324,"New Luxury Doorman Apartment",239142480,"Lucas","Manhattan","Chinatown",40.71416,-73.99161,"Private room",75,1,0,"", ,1,0
22244917,"Full room in Astoria max 2 (8 min from Manhattan)",3186412,"Vanessa", ,"Astoria",40.75936,-73.91266,"Private room", ,11,0,"", ,1,0
23858353,"A lovely taste of Brooklyn with this small bedroom",154302755,"Vika & Josh"," ","Bedford-Stuyvesant",40.68907,-73.92806,"Private room",60,2,42,"02/07/2019",2.8,5,324
11057550,"Penthouz 1200SQF W&D 2bd 2.5ba 350SQF Terrace 5197",16098958,"Jeremy & Laura","Manhattan","West Village",40.73134,-74.00215,"Entire home/apt", ,30,0,"", ,96,327
22481246,"1-bedroom apartment for up to  4 in Times Square.",92856787,"Jessy", ,"Hell's Kitchen",40.76011,-73.99571,"Entire home/apt",250,1,75,"04/07/2019",4.78,1,283
1215122,"Rm #1 River view Hamilton Heights",6632440,"Emmett","Manhattan","Harlem",40.82393,-73.95308,"Private room",95,7,2,"12/10/2014",0.03,2,365
21277719,"Cozy Apt near JFK",153927396,"Saiful","Queens","Bellerose",40.73138,-73.72435,"Private room",55,1,28,"29/06/2019",1.32,1,359
13452799,"Small and cozy room in Williamsburg 2-Bedroom apt.",76849055,"Mikalena","Brooklyn","Williamsburg",40.70885,-73.95349,"Private room",50,1,3,"20/07/2016",0.08,1,0
35754565,"Bright private bedroom 25 min from Manhattan",127927020,"Dmitry And Anya","Brooklyn","Crown Heights",40.67631,-73.92912,"Private room",58,1,2,"18/06/2019",2,3,363
1887874,"Big, bright, Williamsburg bedroom",9820312,"Brandon","Brooklyn","Williamsburg",40.70711,-73.94457,"Private room",40,7,0,"", ,1,331
32595900,"Modern, luxurious spacious room in East Village",156381151,"Karim"," ","East Village",40.72467,-73.98836,"Private room",90,2,6,"20/05/2019",1.7,2,0
36437317,"private room in Astoria",122204600,"Mohammed","Queens","Astoria",40.76431,-73.90992,"Private room", ,15,0,"", ,1,341
8371626,"Cozy little room UWS",44123353,"Griffin","Manhattan","Upper West Side",40.78583,-73.9768,"Private room",55,3,2,"30/09/2015",0.04,1,0
2060275,"NoHa Living",10545845,"Evan","Manhattan","East Harlem",40.80797,-73.93686,"Private room",179,1,1,"14/12/2013",0.01,1,0
23131496,"Beautiful stylish studio in Midtown",99683151,"Christina","Manhattan","Kips Bay",40.73799,-73.97821,"Entire home/apt", ,3,36,"23/06/2019",2.14,3,266
14826817,"Sid's Victorian Oasis",92720308,"Sidney"," ","Flatbush",40.64088,-73.96306,"Private room",120,1,87,"12/06/2019",2.53,3,313
2559129,"Large private bedroom in Manhattan",4912237,"Jonathan","Manhattan","Hell's Kitchen",40.76791,-73.98735,"Private room",95,4,7,"08/10/2018",0.11,1,0
25673898,"Clean, Quiet, Spacious Room in Brooklyn",10373779,"Carla", ,"Bedford-Stuyvesant",40.68758,-73.9484,"Private room",55,3,4,"01/01/2019",0.35,2,0
20958738,"Tastetic",75248463,"Jotham","Brooklyn","East Flatbush",40.64521,-73.94751,"Private room",58,2,9,"12/04/2019",0.42,4,49
5112761,"Master bedroom in Williamsburg",2638171,"Renan","Brooklyn","Williamsburg",40.71577,-73.94604,"Private room",90,3,0,"", ,1,364
19385872,"Sun-filled Oasis in Crown Heights",13283016,"Sarah","Brooklyn","Crown Heights",40.66658,-73.95167,"Entire home/apt",157,1,0,"", ,1,0
21311903,"Hillside Hotel",134184451,"Hillside Hotel","Queens","Jamaica",40.70258,-73.8151,"Private room",135,1,0,"", ,18,365
34859949,"Amazing Townhouse Experience with Private Garden",262800168,"Jennifer","Manhattan","Midtown",40.7431,-73.98233,"Entire home/apt",1000,2,6,"30/06/2019",5.29,1,231
159913,"Chelsea living, 2BR best location",759883,"Kaye"," ","Chelsea",40.74346,-73.99882,"Private room",150,2,37,"03/07/2019",1.79,1,0
27106749,"Zen Studio Loft in Beautiful West Chelsea",25720293,"Lena", ,"Chelsea",40.74676,-74.00308,"Entire home/apt",329,4,17,"17/05/2019",1.53,3,252
34543905,"LYRIC - 2 Bedroom Suite, 2 Bath, Kitchen",197053492,"Lyric At 70 Pine", ,"Financial District",40.70719,-74.00698,"Entire home/apt",650,1,0,"", ,8,323
12630697,"Huge,  Sunny,  Good Vibes Authentic Artist's LOFT",227369,"Kimberly", ,"Bedford-Stuyvesant",40.69508,-73.95952,"Entire home/apt", ,4,82,"26/01/2019",2.22,1,73
20501156,"H.O.M.E (House of M.D. Experience)",146358413,"Sandra","Brooklyn","East New York",40.67585,-73.87307,"Entire home/apt",65,2,53,"08/06/2019",2.37,1,2
17294950,"A Room with a View at The Funky Loft",1432946,"Marcella & Saidat","Brooklyn","Bushwick",40.69554,-73.92458,"Private room",80,3,179,"03/07/2019",6.17,3,191
13959556,"Comfy Accommodations in Queens NY (JFK - 8 Mins)",74331597,"Nickesha","Queens","St. Albans",40.68482,-73.76929,"Private room",55,5,28,"15/06/2019",0.81,5,365
7783855,"Cozy 2 Bedrooms Bedstuy,Brooklyn",40958326,"Gerald", ,"Bedford-Stuyvesant",40.68528,-73.91573,"Entire home/apt",175,4,99,"15/06/2019",2.12,1,334
23839939,"*Location, Location | Chelsea | Meat Packing*",70307702,"Sam","Manhattan","Chelsea",40.73959,-74.00105,"Entire home/apt",199,3,36,"02/07/2019",2.44,1,293
36237913,"Spacious Soho Loft",49346143,"Nicole","Manhattan","Nolita",40.72309,-73.99412,"Entire home/apt",270,3,0,"", ,1,152
